VG,ID,IG,VD
-5.00E+00,1.03E-07,-2.17E-07,5.00E-02
-4.99E+00,9.86E-08,-2.11E-07,5.00E-02
-4.98E+00,9.58E-08,-2.06E-07,5.00E-02
-4.97E+00,9.36E-08,-2.01E-07,5.00E-02
-4.96E+00,9.16E-08,-1.97E-07,5.00E-02
-4.95E+00,8.96E-08,-1.93E-07,5.00E-02
-4.94E+00,8.79E-08,-1.89E-07,5.00E-02
-4.93E+00,8.63E-08,-1.85E-07,5.00E-02
-4.92E+00,8.45E-08,-1.82E-07,5.00E-02
-4.91E+00,8.29E-08,-1.78E-07,5.00E-02
-4.90E+00,8.14E-08,-1.75E-07,5.00E-02
-4.89E+00,7.98E-08,-1.71E-07,5.00E-02
-4.88E+00,7.83E-08,-1.68E-07,5.00E-02
-4.87E+00,7.69E-08,-1.65E-07,5.00E-02
-4.86E+00,7.54E-08,-1.62E-07,5.00E-02
-4.85E+00,7.40E-08,-1.59E-07,5.00E-02
-4.84E+00,7.27E-08,-1.56E-07,5.00E-02
-4.83E+00,7.14E-08,-1.53E-07,5.00E-02
-4.82E+00,7.01E-08,-1.50E-07,5.00E-02
-4.81E+00,6.88E-08,-1.47E-07,5.00E-02
-4.80E+00,6.75E-08,-1.45E-07,5.00E-02
-4.79E+00,6.62E-08,-1.42E-07,5.00E-02
-4.78E+00,6.51E-08,-1.40E-07,5.00E-02
-4.77E+00,6.38E-08,-1.37E-07,5.00E-02
-4.76E+00,6.27E-08,-1.34E-07,5.00E-02
-4.75E+00,6.16E-08,-1.32E-07,5.00E-02
-4.74E+00,6.04E-08,-1.29E-07,5.00E-02
-4.73E+00,5.93E-08,-1.27E-07,5.00E-02
-4.72E+00,5.82E-08,-1.25E-07,5.00E-02
-4.71E+00,5.72E-08,-1.22E-07,5.00E-02
-4.70E+00,5.62E-08,-1.20E-07,5.00E-02
-4.69E+00,5.51E-08,-1.18E-07,5.00E-02
-4.68E+00,5.41E-08,-1.16E-07,5.00E-02
-4.67E+00,5.31E-08,-1.13E-07,5.00E-02
-4.66E+00,5.21E-08,-1.11E-07,5.00E-02
-4.65E+00,5.12E-08,-1.09E-07,5.00E-02
-4.64E+00,5.02E-08,-1.07E-07,5.00E-02
-4.63E+00,4.92E-08,-1.05E-07,5.00E-02
-4.62E+00,4.83E-08,-1.03E-07,5.00E-02
-4.61E+00,4.74E-08,-1.01E-07,5.00E-02
-4.60E+00,4.65E-08,-9.89E-08,5.00E-02
-4.59E+00,4.56E-08,-9.70E-08,5.00E-02
-4.58E+00,4.47E-08,-9.51E-08,5.00E-02
-4.57E+00,4.39E-08,-9.32E-08,5.00E-02
-4.56E+00,4.30E-08,-9.14E-08,5.00E-02
-4.55E+00,4.22E-08,-8.96E-08,5.00E-02
-4.54E+00,4.14E-08,-8.79E-08,5.00E-02
-4.53E+00,4.06E-08,-8.61E-08,5.00E-02
-4.52E+00,3.98E-08,-8.43E-08,5.00E-02
-4.51E+00,3.90E-08,-8.26E-08,5.00E-02
-4.50E+00,3.82E-08,-8.10E-08,5.00E-02
-4.49E+00,3.75E-08,-7.93E-08,5.00E-02
-4.48E+00,3.67E-08,-7.77E-08,5.00E-02
-4.47E+00,3.60E-08,-7.61E-08,5.00E-02
-4.46E+00,3.53E-08,-7.48E-08,5.00E-02
-4.45E+00,3.46E-08,-7.32E-08,5.00E-02
-4.44E+00,3.39E-08,-7.17E-08,5.00E-02
-4.43E+00,3.32E-08,-7.01E-08,5.00E-02
-4.42E+00,3.25E-08,-6.87E-08,5.00E-02
-4.41E+00,3.19E-08,-6.73E-08,5.00E-02
-4.40E+00,3.12E-08,-6.58E-08,5.00E-02
-4.39E+00,3.05E-08,-6.44E-08,5.00E-02
-4.38E+00,2.99E-08,-6.31E-08,5.00E-02
-4.37E+00,2.93E-08,-6.18E-08,5.00E-02
-4.36E+00,2.87E-08,-6.04E-08,5.00E-02
-4.35E+00,2.81E-08,-5.92E-08,5.00E-02
-4.34E+00,2.75E-08,-5.78E-08,5.00E-02
-4.33E+00,2.69E-08,-5.66E-08,5.00E-02
-4.32E+00,2.63E-08,-5.53E-08,5.00E-02
-4.31E+00,2.58E-08,-5.41E-08,5.00E-02
-4.30E+00,2.52E-08,-5.29E-08,5.00E-02
-4.29E+00,2.47E-08,-5.17E-08,5.00E-02
-4.28E+00,2.41E-08,-5.06E-08,5.00E-02
-4.27E+00,2.36E-08,-4.95E-08,5.00E-02
-4.26E+00,2.31E-08,-4.84E-08,5.00E-02
-4.25E+00,2.26E-08,-4.73E-08,5.00E-02
-4.24E+00,2.21E-08,-4.62E-08,5.00E-02
-4.23E+00,2.16E-08,-4.51E-08,5.00E-02
-4.22E+00,2.11E-08,-4.42E-08,5.00E-02
-4.21E+00,2.07E-08,-4.32E-08,5.00E-02
-4.20E+00,2.02E-08,-4.22E-08,5.00E-02
-4.19E+00,1.97E-08,-4.12E-08,5.00E-02
-4.18E+00,1.93E-08,-4.03E-08,5.00E-02
-4.17E+00,1.89E-08,-3.93E-08,5.00E-02
-4.16E+00,1.84E-08,-3.84E-08,5.00E-02
-4.15E+00,1.80E-08,-3.74E-08,5.00E-02
-4.14E+00,1.76E-08,-3.66E-08,5.00E-02
-4.13E+00,1.72E-08,-3.57E-08,5.00E-02
-4.12E+00,1.68E-08,-3.48E-08,5.00E-02
-4.11E+00,1.64E-08,-3.40E-08,5.00E-02
-4.10E+00,1.60E-08,-3.32E-08,5.00E-02
-4.09E+00,1.56E-08,-3.23E-08,5.00E-02
-4.08E+00,1.52E-08,-3.16E-08,5.00E-02
-4.07E+00,1.48E-08,-3.08E-08,5.00E-02
-4.06E+00,1.45E-08,-3.00E-08,5.00E-02
-4.05E+00,1.41E-08,-2.93E-08,5.00E-02
-4.04E+00,1.38E-08,-2.85E-08,5.00E-02
-4.03E+00,1.34E-08,-2.78E-08,5.00E-02
-4.02E+00,1.31E-08,-2.71E-08,5.00E-02
-4.01E+00,1.28E-08,-2.64E-08,5.00E-02
-4.00E+00,1.25E-08,-2.57E-08,5.00E-02
-3.99E+00,1.22E-08,-2.51E-08,5.00E-02
-3.98E+00,1.19E-08,-2.45E-08,5.00E-02
-3.97E+00,1.16E-08,-2.39E-08,5.00E-02
-3.96E+00,1.13E-08,-2.32E-08,5.00E-02
-3.95E+00,1.10E-08,-2.26E-08,5.00E-02
-3.94E+00,1.07E-08,-2.20E-08,5.00E-02
-3.93E+00,1.04E-08,-2.14E-08,5.00E-02
-3.92E+00,1.02E-08,-2.08E-08,5.00E-02
-3.91E+00,9.89E-09,-2.03E-08,5.00E-02
-3.90E+00,9.63E-09,-1.97E-08,5.00E-02
-3.89E+00,9.38E-09,-1.92E-08,5.00E-02
-3.88E+00,9.13E-09,-1.87E-08,5.00E-02
-3.87E+00,8.88E-09,-1.82E-08,5.00E-02
-3.86E+00,8.64E-09,-1.77E-08,5.00E-02
-3.85E+00,8.41E-09,-1.72E-08,5.00E-02
-3.84E+00,8.18E-09,-1.67E-08,5.00E-02
-3.83E+00,7.96E-09,-1.62E-08,5.00E-02
-3.82E+00,7.74E-09,-1.58E-08,5.00E-02
-3.81E+00,7.52E-09,-1.53E-08,5.00E-02
-3.80E+00,7.32E-09,-1.49E-08,5.00E-02
-3.79E+00,7.11E-09,-1.44E-08,5.00E-02
-3.78E+00,6.91E-09,-1.40E-08,5.00E-02
-3.77E+00,6.70E-09,-1.36E-08,5.00E-02
-3.76E+00,6.52E-09,-1.32E-08,5.00E-02
-3.75E+00,6.34E-09,-1.29E-08,5.00E-02
-3.74E+00,6.16E-09,-1.25E-08,5.00E-02
-3.73E+00,5.98E-09,-1.21E-08,5.00E-02
-3.72E+00,5.81E-09,-1.17E-08,5.00E-02
-3.71E+00,5.64E-09,-1.14E-08,5.00E-02
-3.70E+00,5.48E-09,-1.10E-08,5.00E-02
-3.69E+00,5.31E-09,-1.07E-08,5.00E-02
-3.68E+00,5.15E-09,-1.04E-08,5.00E-02
-3.67E+00,5.00E-09,-1.01E-08,5.00E-02
-3.66E+00,4.85E-09,-9.76E-09,5.00E-02
-3.65E+00,4.70E-09,-9.46E-09,5.00E-02
-3.64E+00,4.56E-09,-9.16E-09,5.00E-02
-3.63E+00,4.42E-09,-8.88E-09,5.00E-02
-3.62E+00,4.29E-09,-8.60E-09,5.00E-02
-3.61E+00,4.15E-09,-8.33E-09,5.00E-02
-3.60E+00,4.02E-09,-8.06E-09,5.00E-02
-3.59E+00,3.90E-09,-7.82E-09,5.00E-02
-3.58E+00,3.77E-09,-7.56E-09,5.00E-02
-3.57E+00,3.65E-09,-7.32E-09,5.00E-02
-3.56E+00,3.55E-09,-7.09E-09,5.00E-02
-3.55E+00,3.43E-09,-6.85E-09,5.00E-02
-3.54E+00,3.32E-09,-6.62E-09,5.00E-02
-3.53E+00,3.21E-09,-6.41E-09,5.00E-02
-3.52E+00,3.11E-09,-6.21E-09,5.00E-02
-3.51E+00,3.02E-09,-6.01E-09,5.00E-02
-3.50E+00,2.91E-09,-5.81E-09,5.00E-02
-3.49E+00,2.82E-09,-5.61E-09,5.00E-02
-3.48E+00,2.73E-09,-5.42E-09,5.00E-02
-3.47E+00,2.64E-09,-5.24E-09,5.00E-02
-3.46E+00,2.55E-09,-5.06E-09,5.00E-02
-3.45E+00,2.46E-09,-4.88E-09,5.00E-02
-3.44E+00,2.38E-09,-4.73E-09,5.00E-02
-3.43E+00,2.30E-09,-4.56E-09,5.00E-02
-3.42E+00,2.22E-09,-4.41E-09,5.00E-02
-3.41E+00,2.15E-09,-4.26E-09,5.00E-02
-3.40E+00,2.07E-09,-4.11E-09,5.00E-02
-3.39E+00,2.00E-09,-3.97E-09,5.00E-02
-3.38E+00,1.93E-09,-3.82E-09,5.00E-02
-3.37E+00,1.86E-09,-3.68E-09,5.00E-02
-3.36E+00,1.80E-09,-3.56E-09,5.00E-02
-3.35E+00,1.74E-09,-3.43E-09,5.00E-02
-3.34E+00,1.68E-09,-3.30E-09,5.00E-02
-3.33E+00,1.61E-09,-3.18E-09,5.00E-02
-3.32E+00,1.56E-09,-3.07E-09,5.00E-02
-3.31E+00,1.50E-09,-2.97E-09,5.00E-02
-3.30E+00,1.45E-09,-2.86E-09,5.00E-02
-3.29E+00,1.39E-09,-2.76E-09,5.00E-02
-3.28E+00,1.35E-09,-2.65E-09,5.00E-02
-3.27E+00,1.30E-09,-2.55E-09,5.00E-02
-3.26E+00,1.26E-09,-2.45E-09,5.00E-02
-3.25E+00,1.21E-09,-2.36E-09,5.00E-02
-3.24E+00,1.16E-09,-2.28E-09,5.00E-02
-3.23E+00,1.12E-09,-2.19E-09,5.00E-02
-3.22E+00,1.08E-09,-2.12E-09,5.00E-02
-3.21E+00,1.04E-09,-2.04E-09,5.00E-02
-3.20E+00,1.01E-09,-1.96E-09,5.00E-02
-3.19E+00,9.66E-10,-1.89E-09,5.00E-02
-3.18E+00,9.36E-10,-1.82E-09,5.00E-02
-3.17E+00,9.02E-10,-1.78E-09,5.00E-02
-3.16E+00,8.70E-10,-1.71E-09,5.00E-02
-3.15E+00,8.37E-10,-1.65E-09,5.00E-02
-3.14E+00,8.09E-10,-1.59E-09,5.00E-02
-3.13E+00,7.78E-10,-1.53E-09,5.00E-02
-3.12E+00,7.52E-10,-1.48E-09,5.00E-02
-3.11E+00,7.20E-10,-1.41E-09,5.00E-02
-3.10E+00,6.90E-10,-1.36E-09,5.00E-02
-3.09E+00,6.65E-10,-1.32E-09,5.00E-02
-3.08E+00,6.43E-10,-1.27E-09,5.00E-02
-3.07E+00,6.18E-10,-1.22E-09,5.00E-02
-3.06E+00,5.97E-10,-1.18E-09,5.00E-02
-3.05E+00,5.76E-10,-1.14E-09,5.00E-02
-3.04E+00,5.54E-10,-1.09E-09,5.00E-02
-3.03E+00,5.33E-10,-1.07E-09,5.00E-02
-3.02E+00,5.17E-10,-1.03E-09,5.00E-02
-3.01E+00,4.97E-10,-9.95E-10,5.00E-02
-3.00E+00,4.82E-10,-9.58E-10,5.00E-02
-2.99E+00,4.64E-10,-9.23E-10,5.00E-02
-2.98E+00,4.48E-10,-8.92E-10,5.00E-02
-2.97E+00,4.34E-10,-8.59E-10,5.00E-02
-2.96E+00,4.20E-10,-8.33E-10,5.00E-02
-2.95E+00,4.01E-10,-8.09E-10,5.00E-02
-2.94E+00,3.91E-10,-7.83E-10,5.00E-02
-2.93E+00,3.80E-10,-7.59E-10,5.00E-02
-2.92E+00,3.67E-10,-7.34E-10,5.00E-02
-2.91E+00,3.53E-10,-7.05E-10,5.00E-02
-2.90E+00,3.45E-10,-6.86E-10,5.00E-02
-2.89E+00,3.34E-10,-6.74E-10,5.00E-02
-2.88E+00,3.25E-10,-6.53E-10,5.00E-02
-2.87E+00,3.13E-10,-6.30E-10,5.00E-02
-2.86E+00,3.05E-10,-6.05E-10,5.00E-02
-2.85E+00,2.95E-10,-5.92E-10,5.00E-02
-2.84E+00,2.88E-10,-5.72E-10,5.00E-02
-2.83E+00,2.81E-10,-5.58E-10,5.00E-02
-2.82E+00,2.74E-10,-5.42E-10,5.00E-02
-2.81E+00,2.68E-10,-5.28E-10,5.00E-02
-2.80E+00,2.64E-10,-5.14E-10,5.00E-02
-2.79E+00,2.63E-10,-5.04E-10,5.00E-02
-2.78E+00,2.67E-10,-4.92E-10,5.00E-02
-2.77E+00,2.77E-10,-4.78E-10,5.00E-02
-2.76E+00,3.05E-10,-4.66E-10,5.00E-02
-2.75E+00,3.69E-10,-4.53E-10,5.00E-02
-2.74E+00,4.97E-10,-4.44E-10,5.00E-02
-2.73E+00,7.47E-10,-4.35E-10,5.00E-02
-2.72E+00,1.22E-09,-4.24E-10,5.00E-02
-2.71E+00,2.16E-09,-4.13E-10,5.00E-02
-2.70E+00,3.89E-09,-4.00E-10,5.00E-02
-2.69E+00,7.15E-09,-3.95E-10,5.00E-02
-2.68E+00,1.31E-08,-3.84E-10,5.00E-02
-2.67E+00,2.42E-08,-3.77E-10,5.00E-02
-2.66E+00,4.43E-08,-3.75E-10,5.00E-02
-2.65E+00,8.06E-08,-3.64E-10,5.00E-02
-2.64E+00,1.44E-07,-3.57E-10,5.00E-02
-2.63E+00,2.57E-07,-3.51E-10,5.00E-02
-2.62E+00,4.51E-07,-3.45E-10,5.00E-02
-2.61E+00,7.77E-07,-3.42E-10,5.00E-02
-2.60E+00,1.32E-06,-3.35E-10,5.00E-02
-2.59E+00,2.20E-06,-3.31E-10,5.00E-02
-2.58E+00,3.60E-06,-3.25E-10,5.00E-02
-2.57E+00,5.58E-06,-3.20E-10,5.00E-02
-2.56E+00,8.83E-06,-3.14E-10,5.00E-02
-2.55E+00,1.36E-05,-3.05E-10,5.00E-02
-2.54E+00,2.07E-05,-3.06E-10,5.00E-02
-2.53E+00,3.09E-05,-3.00E-10,5.00E-02
-2.52E+00,4.52E-05,-2.95E-10,5.00E-02
-2.51E+00,6.48E-05,-2.91E-10,5.00E-02
-2.50E+00,9.14E-05,-2.87E-10,5.00E-02
-2.49E+00,1.27E-04,-2.82E-10,5.00E-02
-2.48E+00,1.73E-04,-2.79E-10,5.00E-02
-2.47E+00,2.32E-04,-2.70E-10,5.00E-02
-2.46E+00,3.07E-04,-2.71E-10,5.00E-02
-2.45E+00,3.99E-04,-2.65E-10,5.00E-02
-2.44E+00,5.12E-04,-2.64E-10,5.00E-02
-2.43E+00,6.48E-04,-2.64E-10,5.00E-02
-2.42E+00,8.10E-04,-2.57E-10,5.00E-02
-2.41E+00,9.99E-04,-2.53E-10,5.00E-02
-2.40E+00,1.22E-03,-2.48E-10,5.00E-02
-2.39E+00,1.47E-03,-2.47E-10,5.00E-02
-2.38E+00,1.76E-03,-2.44E-10,5.00E-02
-2.37E+00,2.08E-03,-2.42E-10,5.00E-02
-2.36E+00,2.44E-03,-2.37E-10,5.00E-02
-2.35E+00,2.83E-03,-2.33E-10,5.00E-02
-2.34E+00,3.26E-03,-2.33E-10,5.00E-02
-2.33E+00,3.69E-03,-2.28E-10,5.00E-02
-2.32E+00,4.19E-03,-2.26E-10,5.00E-02
-2.31E+00,4.72E-03,-2.20E-10,5.00E-02
-2.30E+00,5.28E-03,-2.19E-10,5.00E-02
-2.29E+00,5.88E-03,-2.16E-10,5.00E-02
-2.28E+00,6.50E-03,-2.14E-10,5.00E-02
-2.27E+00,7.16E-03,-2.09E-10,5.00E-02
-2.26E+00,7.83E-03,-2.06E-10,5.00E-02
-2.25E+00,8.53E-03,-2.01E-10,5.00E-02
-2.24E+00,9.24E-03,-2.01E-10,5.00E-02
-2.23E+00,9.97E-03,-1.97E-10,5.00E-02
-2.22E+00,1.07E-02,-1.91E-10,5.00E-02
-2.21E+00,1.15E-02,-1.89E-10,5.00E-02
-2.20E+00,1.22E-02,-1.83E-10,5.00E-02
-2.19E+00,1.30E-02,-1.79E-10,5.00E-02
-2.18E+00,1.38E-02,-1.75E-10,5.00E-02
-2.17E+00,1.46E-02,-1.70E-10,5.00E-02
-2.16E+00,1.53E-02,-1.66E-10,5.00E-02
-2.15E+00,1.61E-02,-1.60E-10,5.00E-02
-2.14E+00,1.69E-02,-1.55E-10,5.00E-02
-2.13E+00,1.77E-02,-1.51E-10,5.00E-02
-2.12E+00,1.84E-02,-1.46E-10,5.00E-02
-2.11E+00,1.92E-02,-1.40E-10,5.00E-02
-2.10E+00,1.99E-02,-1.35E-10,5.00E-02
-2.09E+00,2.06E-02,-1.29E-10,5.00E-02
-2.08E+00,2.13E-02,-1.25E-10,5.00E-02
-2.07E+00,2.20E-02,-1.20E-10,5.00E-02
-2.06E+00,2.27E-02,-1.13E-10,5.00E-02
-2.05E+00,2.34E-02,-1.08E-10,5.00E-02
-2.04E+00,2.41E-02,-1.03E-10,5.00E-02
-2.03E+00,2.48E-02,-9.90E-11,5.00E-02
-2.02E+00,2.54E-02,-9.44E-11,5.00E-02
-2.01E+00,2.61E-02,-8.90E-11,5.00E-02
-2.00E+00,2.67E-02,-8.52E-11,5.00E-02
-1.99E+00,2.73E-02,-8.07E-11,5.00E-02
-1.98E+00,2.79E-02,-7.68E-11,5.00E-02
-1.97E+00,2.85E-02,-7.26E-11,5.00E-02
-1.96E+00,2.91E-02,-6.89E-11,5.00E-02
-1.95E+00,2.97E-02,-6.60E-11,5.00E-02
-1.94E+00,3.02E-02,-6.27E-11,5.00E-02
-1.93E+00,3.08E-02,-5.99E-11,5.00E-02
-1.92E+00,3.13E-02,-5.72E-11,5.00E-02
-1.91E+00,3.18E-02,-5.71E-11,5.00E-02
-1.90E+00,3.23E-02,-5.45E-11,5.00E-02
-1.89E+00,3.28E-02,-5.17E-11,5.00E-02
-1.88E+00,3.33E-02,-4.92E-11,5.00E-02
-1.87E+00,3.37E-02,-4.70E-11,5.00E-02
-1.86E+00,3.42E-02,-4.51E-11,5.00E-02
-1.85E+00,3.46E-02,-4.35E-11,5.00E-02
-1.84E+00,3.50E-02,-4.14E-11,5.00E-02
-1.83E+00,3.55E-02,-3.99E-11,5.00E-02
-1.82E+00,3.59E-02,-3.87E-11,5.00E-02
