vg,vd,ig,id
-5.001307,100.0226,-4.047495e-10,2.459676e-09
-4.501173,100.0226,-1.828395e-10,1.417955e-09
-4.001139,100.0227,-1.933226e-10,1.365385e-09
-3.501111,100.0221,-4.281482e-10,1.501058e-09
-3.001018,100.0234,-4.029504e-10,1.118006e-09
-2.500912,100.023,-7.453748e-11,1.191397e-09
-2.000037,100.0228,-1.990824e-10,1.212172e-09
-1.500101,100.023,-9.563991e-11,9.704606e-10
-1.000104,100.0239,-3.825684e-10,8.764302e-10
-0.5001379,100.0234,-5.204055e-11,1.134601e-09
-0.0001071154,100.023,-1.458535e-10,5.518835e-10
0.5000201,100.0236,-3.338402e-10,1.087202e-09
0.9999833,100.0249,-1.887785e-10,2.090413e-08
1.499976,100.0252,2.785896e-10,2.205568e-06
1.999971,100.0279,1.934252e-10,5.051968e-05
2.499913,100.0267,2.876333e-10,0.0004187085
2.999966,100.0239,-4.191779e-11,0.001972916
3.499995,100.0259,-1.804092e-10,0.006877065
4.000003,100.0371,-3.3123e-10,0.01994125
4.499998,0.5742186,2.636989e-10,0.02100002
5.000041,0.2614964,-7.449259e-11,0.02100002
