vd,vg,id,ig
1.448162e-05,-0.5001322,1.778258e-10,1.777682e-10
5.000187,-0.5001312,1.210741e-10,-1.621865e-10
10.00092,-0.5001354,1.894277e-10,-8.875574e-11
15.00079,-0.5001367,2.874617e-10,-1.283059e-10
19.99985,-0.5001338,3.219985e-10,-4.758652e-11
25.00105,-0.5001312,5.535028e-10,1.077188e-10
30.01506,-0.5001352,6.574728e-10,-2.1339e-10
35.0097,-0.5001373,3.009077e-10,-1.762322e-11
40.00727,-0.5001367,4.797069e-10,-1.708254e-10
45.02012,-0.5001375,5.694671e-10,-1.299706e-10
50.01748,-0.5001351,3.488896e-10,-1.319504e-10
55.01238,-0.5001355,6.33234e-10,-2.990547e-11
60.00994,-0.5001328,6.543244e-10,5.332596e-11
65.0245,-0.5001374,5.051151e-10,-2.160002e-10
70.02217,-0.5001382,7.435439e-10,-2.080806e-10
75.0174,-0.5001359,5.351998e-10,-2.100605e-10
80.03068,-0.5001352,8.410833e-10,-2.75707e-10
85.02509,-0.500138,1.150655e-09,-5.790892e-12
90.01846,-0.5001348,9.498656e-10,-2.05471e-10
95.01234,-0.500136,9.709554e-10,-1.975969e-10
100.0235,-0.5001371,7.865802e-10,-3.754141e-10
