v,i,output
-1.000113,-3.84454e-09,-0.000140365747
-0.9501048,-2.463187e-09,-0.000135701813
-0.90012,-2.614508e-09,-7.89510674e-05
-0.8501185,6.6446e-10,-0.000110255391
-0.800108,7.001431e-10,-8.71969023e-05
-0.7501091,-1.809746e-09,-0.000103016965
-0.7001173,-4.028359e-09,-9.0032574e-05
-0.6501126,3.106833e-09,-0.000100255917
-0.6001114,2.440623e-09,-8.49582141e-05
-0.5501344,-3.910099e-09,-9.52934912e-05
-0.5001438,2.428074e-09,-0.000106263063
-0.4501421,1.318694e-09,-0.000113426866
-0.4001347,1.322162e-09,-9.66740156e-05
-0.3501279,1.726595e-09,-0.000106337686
-0.3001228,-3.411717e-09,-0.000102308048
-0.2501187,1.219174e-09,-0.000109061424
-0.2000834,-3.008265e-09,-9.42114586e-05
-0.1500879,-1.980505e-09,-9.69725073e-05
-0.1001007,1.048515e-09,-0.000111897095
-0.05009741,2.29808e-09,-9.93604414e-05
-8.844543e-05,-6.73443e-10,-6.1526611e-05
0.05001368,3.429522e-09,-0.00019476587
0.1000352,8.338565e-10,4.54453728e-05
0.150023,-1.357666e-09,-0.000382852989
0.2000164,-1.702919e-09,-0.000146223647
0.2500195,-1.831475e-09,-0.000177714528
0.3000327,1.612542e-09,-0.000145999779
0.3500386,2.379382e-09,-9.81291629e-05
0.4000213,-3.720567e-10,-9.29801801e-05
0.4500301,2.513243e-09,-7.47721828e-05
0.5000356,-1.142448e-09,-0.000272261792
0.5500439,-9.71949e-10,-0.000141932828
0.6000426,3.704805e-09,0.00242401426
0.6500443,6.08761e-10,6.61532386e-05
0.7000343,3.637606e-09,-0.000132269158
0.7500433,1.185768e-08,-2.49613707e-05
0.8000323,4.00288e-08,-0.000105255654
0.8500217,1.00612e-07,-0.000326699227
0.900025,2.682501e-07,-0.000161073612
0.9500384,7.438874e-07,-0.000299573788
1.000024,2.059861e-06,5.23853062e-05
1.050079,5.794145e-06,-0.000379644202
1.100052,1.651757e-05,-0.00106166056
1.15007,4.889787e-05,-0.00832851704
1.200036,0.0001572995,-0.0573764216
1.250054,0.0005586248,-5.89520959e-06
1.272159,0.0009999714,-5.89520959e-06
