v,i,output,time
1.500011,0.03582814,-8.17120925e-06,0.0
1.5,0.03596852,-8.24583219e-06,0.5
1.500003,0.03605301,-8.469701e-06,1.0
1.499986,0.03612355,-8.32045512e-06,1.5
1.499989,0.03619115,-8.50701247e-06,2.0
1.500002,0.03625252,-8.76819276e-06,2.5
1.499994,0.03630167,-8.8428157e-06,3.0
1.500002,0.03635043,-9.06668452e-06,3.5
1.499995,0.03639339,-9.14130746e-06,4.0
1.499998,0.03643429,-9.10399599e-06,4.5
1.500003,0.03647056,-9.29055334e-06,5.0
1.499994,0.03650743,-9.32786481e-06,5.5
1.499993,0.03654239,-9.25324187e-06,6.0
1.500007,0.03656283,-1.00740942e-05,6.5
1.500007,0.03659285,-9.5890451e-06,7.0
1.499996,0.03661624,-9.85022539e-06,7.5
1.499996,0.03664678,-1.01114057e-05,8.0
1.500013,0.03666494,-1.01114057e-05,8.5
1.500006,0.0366818,-1.04845204e-05,9.0
1.499994,0.03670537,-1.06710777e-05,9.5
