v,i
8.614268e-06,1.89801e-09
0.1000248,2.125134e-06
0.2000221,4.246252e-06
0.30006,6.369483e-06
0.4000634,8.491879e-06
0.5000396,1.061281e-05
0.600037,1.273377e-05
0.700028,1.485668e-05
0.8000147,1.697886e-05
0.9000109,1.910131e-05
1.000017,2.122196e-05
1.100031,2.334471e-05
1.20004,2.54674e-05
1.300032,2.75882e-05
1.400018,2.970982e-05
1.500025,3.183125e-05
1.600009,3.395401e-05
1.699993,3.6075e-05
1.800044,3.819737e-05
1.900025,4.031986e-05
2.000021,4.24418e-05
2.100007,4.456365e-05
2.200386,4.672365e-05
2.300191,4.884046e-05
2.400379,5.096777e-05
2.50015,5.308385e-05
2.600322,5.520981e-05
2.700447,5.733552e-05
2.800261,5.945289e-05
2.900408,6.157814e-05
3.000237,6.369664e-05
